dr_no,date_occ,date_rptd,time_occ,lat,lon
200319578,2020-10-29T00:00:00.000,2020-10-29T00:00:00.000,1940,34.0037,-118.2916
200319590,2020-10-28T00:00:00.000,2020-10-28T00:00:00.000,1440,34.0317,-118.284
200319618,2020-10-30T00:00:00.000,2020-10-30T00:00:00.000,1415,34.0111,-118.2872
201310931,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,0642,34.0111,-118.274
200311519,2020-05-18T00:00:00.000,2020-05-18T00:00:00.000,1550,34.0152,-118.3002
200308655,2020-03-15T00:00:00.000,2020-03-15T00:00:00.000,2300,34.0348,-118.2876
200311428,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,0155,34.0073,-118.2937
201223599,2020-10-30T00:00:00.000,2020-10-30T00:00:00.000,2200,34.0027,-118.2915
201308136,2020-03-14T00:00:00.000,2020-03-14T00:00:00.000,1710,34.0171,-118.2794
201318223,2020-10-09T00:00:00.000,2020-10-09T00:00:00.000,0220,34.0251,-118.2691
201318340,2020-10-12T00:00:00.000,2020-10-13T00:00:00.000,0505,34.0155,-118.2772
201318554,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,1708,34.0144,-118.2705
201318775,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,2030,34.0112,-118.2722
201318885,2020-10-22T00:00:00.000,2020-10-22T00:00:00.000,0907,34.0144,-118.2705
201318923,2020-10-20T00:00:00.000,2020-10-20T00:00:00.000,1645,34.0289,-118.2686
201319046,2020-10-25T00:00:00.000,2020-10-25T00:00:00.000,1927,34.0057,-118.2653
201319233,2020-10-29T00:00:00.000,2020-10-29T00:00:00.000,1640,34.0258,-118.2708
200105416,2020-01-21T00:00:00.000,2020-01-21T00:00:00.000,1745,34.0396,-118.2672
200105469,2020-01-22T00:00:00.000,2020-01-22T00:00:00.000,1345,34.0388,-118.2717
200106097,2020-01-26T00:00:00.000,2020-01-31T00:00:00.000,1930,34.0339,-118.2668
200106401,2020-02-01T00:00:00.000,2020-02-04T00:00:00.000,0120,34.0375,-118.27
180317422,2018-07-24T00:00:00.000,2018-07-24T00:00:00.000,2030,34.0282,-118.276
190323672,2019-10-30T00:00:00.000,2019-10-30T00:00:00.000,1650,34.02,-118.3002
202010121,2020-05-25T00:00:00.000,2020-05-25T00:00:00.000,1450,34.04,-118.2984
200307972,2020-03-04T00:00:00.000,2020-03-04T00:00:00.000,0715,34.0219,-118.2959
200308230,2020-03-08T00:00:00.000,2020-03-08T00:00:00.000,1200,34.0327,-118.3002
200308232,2020-03-08T00:00:00.000,2020-03-08T00:00:00.000,1400,34.0309,-118.3028
200308415,2020-03-07T00:00:00.000,2020-03-07T00:00:00.000,0300,34.0221,-118.2915
200308279,2020-03-09T00:00:00.000,2020-03-09T00:00:00.000,0800,34.0109,-118.3034
200308323,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,1955,34.0182,-118.2915
201307994,2020-03-06T00:00:00.000,2020-03-12T00:00:00.000,1635,34.0039,-118.2653
201307948,2020-03-09T00:00:00.000,2020-03-09T00:00:00.000,2010,34.0038,-118.274
201308092,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,2020,34.0038,-118.2783
200311132,2020-05-10T00:00:00.000,2020-05-10T00:00:00.000,1600,34.0112,-118.2827
200210541,2020-05-22T00:00:00.000,2020-05-23T00:00:00.000,2200,34.0398,-118.278
200311639,2020-05-19T00:00:00.000,2020-05-19T00:00:00.000,0440,34.0065,-118.2872
200311133,2020-05-10T00:00:00.000,2020-05-10T00:00:00.000,1430,34.0121,-118.3002
202016046,2020-10-18T00:00:00.000,2020-10-18T00:00:00.000,0630,34.0399,-118.2841
200308401,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,1730,34.0111,-118.2811
200316407,2020-08-26T00:00:00.000,2020-08-27T00:00:00.000,2235,34.0037,-118.3002
200313384,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,2045,34.0276,-118.2748
200306012,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,1930,34.0146,-118.2872
201308180,2020-03-15T00:00:00.000,2020-03-15T00:00:00.000,0105,34.0111,-118.2653
200109256,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,1450,34.0363,-118.2677
200313491,2020-07-01T00:00:00.000,2020-07-01T00:00:00.000,0015,34.0364,-118.2975
