dr_no,crm_cd,crm_cd_desc,date_occ,lat,lon
211305651,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-12-19T00:00:00.000,34.0082,-118.2699
202017440,251,SHOTS FIRED AT INHABITED DWELLING,2020-11-20T00:00:00.000,34.0382,-118.2918
201310244,310,BURGLARY,2020-05-01T00:00:00.000,34.0272,-118.2685
201315653,310,BURGLARY,2020-08-13T00:00:00.000,34.0289,-118.2686
201316292,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-08-31T00:00:00.000,34.0224,-118.2749
201311325,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-05-24T00:00:00.000,34.0057,-118.274
201312218,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-06-09T00:00:00.000,34.0091,-118.274
201314031,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020-06-22T00:00:00.000,34.0338,-118.2724
202018763,210,ROBBERY,2020-12-24T00:00:00.000,34.0385,-118.3046
210305246,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-10-20T00:00:00.000,34.0074,-118.285
202012794,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-07-30T00:00:00.000,34.04,-118.3034
202014184,330,BURGLARY FROM VEHICLE,2020-09-03T00:00:00.000,34.0381,-118.284
201318622,624,BATTERY - SIMPLE ASSAULT,2020-10-16T00:00:00.000,34.0039,-118.2653
201321749,210,ROBBERY,2020-12-26T00:00:00.000,34.0268,-118.2702
201313883,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-07-13T00:00:00.000,34.0187,-118.2771
201310201,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-04-30T00:00:00.000,34.0082,-118.2762
201318764,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2020-10-20T00:00:00.000,34.0159,-118.2773
201312273,210,ROBBERY,2020-06-14T00:00:00.000,34.0075,-118.2775
201316445,510,VEHICLE - STOLEN,2020-09-03T00:00:00.000,34.0243,-118.2704
202016476,310,BURGLARY,2020-10-27T00:00:00.000,34.04,-118.2978
201314607,330,BURGLARY FROM VEHICLE,2020-07-26T00:00:00.000,34.0265,-118.2723
201321743,624,BATTERY - SIMPLE ASSAULT,2020-12-22T00:00:00.000,34.0075,-118.2775
201316090,510,VEHICLE - STOLEN,2020-08-25T00:00:00.000,34.0057,-118.2653
211304060,901,VIOLATION OF RESTRAINING ORDER,2020-12-25T00:00:00.000,34.0047,-118.2721
230314458,354,THEFT OF IDENTITY,2020-02-01T00:00:00.000,34.0275,-118.2915
201318414,662,"BUNCO, GRAND THEFT",2020-10-09T00:00:00.000,34.0247,-118.2682
201318961,624,BATTERY - SIMPLE ASSAULT,2020-10-23T00:00:00.000,34.0289,-118.2686
202007310,330,BURGLARY FROM VEHICLE,2020-03-10T00:00:00.000,34.04,-118.2974
202007032,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",2020-03-04T00:00:00.000,34.04,-118.2877
201315358,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-08-11T00:00:00.000,34.0111,-118.2653
202007409,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020-01-19T00:00:00.000,34.0401,-118.2852
210310054,510,VEHICLE - STOLEN,2020-03-12T00:00:00.000,34.0306,-118.2814
201311988,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-06-05T00:00:00.000,34.0185,-118.2756
201314735,330,BURGLARY FROM VEHICLE,2020-07-27T00:00:00.000,34.0112,-118.2747
202010587,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-06-04T00:00:00.000,34.0406,-118.2906
201321453,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-12-19T00:00:00.000,34.0082,-118.2699
201312426,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-06-17T00:00:00.000,34.0201,-118.2717
201310885,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020-05-15T00:00:00.000,34.021,-118.2711
202008140,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-03-31T00:00:00.000,34.0416,-118.2896
201313411,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-07-04T00:00:00.000,34.0166,-118.2785
201318054,110,CRIMINAL HOMICIDE,2020-10-06T00:00:00.000,34.0075,-118.2775
201311300,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-05-24T00:00:00.000,34.0266,-118.2676
210308283,886,DISTURBING THE PEACE,2020-11-01T00:00:00.000,34.0228,-118.3046
201316959,330,BURGLARY FROM VEHICLE,2020-09-14T00:00:00.000,34.0289,-118.2686
201319586,310,BURGLARY,2020-10-31T00:00:00.000,34.0169,-118.2783
201320699,624,BATTERY - SIMPLE ASSAULT,2020-12-01T00:00:00.000,34.0057,-118.2685
201321390,510,VEHICLE - STOLEN,2020-12-18T00:00:00.000,34.0287,-118.2663
201315337,624,BATTERY - SIMPLE ASSAULT,2020-08-11T00:00:00.000,34.0218,-118.2706
201315964,860,BATTERY WITH SEXUAL CONTACT,2020-08-24T00:00:00.000,34.0234,-118.2654
201320283,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-11-22T00:00:00.000,34.0035,-118.2691
201313826,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-07-13T00:00:00.000,34.0139,-118.2685
201312807,510,VEHICLE - STOLEN,2020-06-24T00:00:00.000,34.0121,-118.274
202007801,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-03-20T00:00:00.000,34.0382,-118.2983
201312329,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-06-15T00:00:00.000,34.0101,-118.278
202009517,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-05-07T00:00:00.000,34.04,-118.2888
210305231,480,BIKE - STOLEN,2020-12-15T00:00:00.000,34.0307,-118.2923
201321329,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-12-16T00:00:00.000,34.0111,-118.2653
201311616,624,BATTERY - SIMPLE ASSAULT,2020-05-30T00:00:00.000,34.0111,-118.2774
201319030,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020-10-25T00:00:00.000,34.0111,-118.2789
201320439,310,BURGLARY,2020-04-01T00:00:00.000,34.0169,-118.2783
201317622,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-09-26T00:00:00.000,34.0214,-118.2723
201312302,510,VEHICLE - STOLEN,2020-06-14T00:00:00.000,34.0223,-118.2719
201316332,761,BRANDISH WEAPON,2020-09-01T00:00:00.000,34.0062,-118.2795
212004174,510,VEHICLE - STOLEN,2020-11-16T00:00:00.000,34.0401,-118.2852
202008937,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-04-23T00:00:00.000,34.04,-118.3006
201314660,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-07-27T00:00:00.000,34.0047,-118.2721
202006421,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2020-02-20T00:00:00.000,34.0421,-118.2879
201320655,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020-11-27T00:00:00.000,34.0184,-118.2721
201319842,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-11-12T00:00:00.000,34.0056,-118.2806
201314033,510,VEHICLE - STOLEN,2020-07-16T00:00:00.000,34.0082,-118.2728
202015296,901,VIOLATION OF RESTRAINING ORDER,2020-09-30T00:00:00.000,34.0414,-118.2934
202004560,624,BATTERY - SIMPLE ASSAULT,2020-01-13T00:00:00.000,34.04,-118.3043
201315115,510,VEHICLE - STOLEN,2020-08-06T00:00:00.000,34.0154,-118.2678
